Total Power only
 Time (s)               Data...
  0.00128000125  0.0300463699
  0.0025600025  0.027559001
  0.00384000363  0.0236930922
  0.00512000499  0.0283681452
  0.00640000589  0.0313649736
  0.00768000726  0.02863786
  0.00896000862  0.0290574171
  0.01024001  0.0274091605
  0.0115200114  0.0245471876
  0.0128000118  0.0297616702
  0.0140800131  0.0288476385
  0.0153600145  0.0270495396
  0.0166400149  0.027573986
  0.0179200172  0.0283681452
  0.0192000177  0.0303010996
  0.02048002  0.0324887857
  0.0217600204  0.0301962122
  0.0230400227  0.033312913
  0.0243200231  0.0269446522
  0.0256000236  0.0264651589
  0.0268800259  0.0284880195
  0.0281600263  0.0267948098
  0.0294400286  0.0299564656
  0.030720029  0.0285329707
  0.0320000313  0.0276638903
  0.0332800299  0.0301362742
  0.0345600322  0.0264202058
  0.0358400345  0.028308209
  0.0371200368  0.0266149994
  0.0384000354  0.0290424321
  0.0396800376  0.0253713168
  0.0409600399  0.0259257294
  0.0422400385  0.0314998329
  0.0435200408  0.0288776066
  0.0448000431  0.0305708144
  0.0460800454  0.0290724002
  0.047360044  0.0330581851
  0.0486400463  0.0304059889
  0.0499200486  0.0237080753
  0.0512000471  0.0212207083
  0.0524800494  0.0252064914
  0.0537600517  0.02794859
  0.055040054  0.0266599525
  0.0563200526  0.0262703653
  0.0576000549  0.0291323364
  0.0588800572  0.0251315702
  0.0601600558  0.025745919
  0.0614400581  0.0312750712
  0.0627200603  0.0275440179
  0.0640000626  0.0338223763
  0.0652800649  0.0325037688
  0.0665600598  0.034421742
  0.0678400621  0.0341220573
  0.0691200644  0.0275140498
  0.0704000667  0.0388870165
  0.071680069  0.0351559632
  0.0729600713  0.0330881514
  0.0742400736  0.0311102439
  0.0755200684  0.0271544289
  0.0768000707  0.0260456018
  0.078080073  0.030091323
  0.0793600753  0.0266000163
  0.0806400776  0.0306307524
  0.0819200799  0.0371039025
  0.0832000822  0.0364296176
  0.084480077  0.0392016843
  0.0857600793  0.0378231406
  0.0870400816  0.0421685427
  0.0883200839  0.0483120456
  0.0896000862  0.0509192869
  0.0908800885  0.0647346675
  0.0921600908  0.0691549927
  0.0934400856  0.0692299157
  0.0947200879  0.0648545399
  0.0960000902  0.0609886311
  0.0972800925  0.0582465343
  0.0985600948  0.053136941
  0.0998400971  0.0444461331
  0.101120099  0.0389919057
  0.102400094  0.0413893685
  0.103680097  0.0382127315
  0.104960099  0.0368042216
  0.106240101  0.040145684
  0.107520103  0.0390368588
  0.108800106  0.0402955264
  0.110080108  0.0476677269
  0.111360103  0.053466592
  0.112640105  0.0585462153
  0.113920107  0.0664128959
  0.11520011  0.0730358884
  0.116480112  0.0770816058
  0.117760114  0.0794640854
  0.119040117  0.0842440277
  0.120320112  0.0945231542
  0.121600114  0.126019835
  0.122880116  0.188878328
  0.124160118  0.313831121
  0.125440121  0.521796107
  0.126720116  0.771162271
  0.128000125  0.972848892
  0.12928012  0.999985158
  0.13056013  0.82559967
  0.131840125  0.569760382
  0.13312012  0.349043876
  0.134400129  0.198048621
  0.135680124  0.115051433
  0.136960134  0.0720769018
  0.138240129  0.0530470349
  0.139520139  0.0471282974
  0.140800133  0.0512339547
  0.142080128  0.0485068373
  0.143360138  0.0502749681
  0.144640133  0.0477726161
  0.145920143  0.0558340847
  0.147200137  0.0607039332
  0.148480147  0.0648245737
  0.149760142  0.0820113942
  0.151040137  0.0956769362
  0.152320147  0.114392132
  0.153600141  0.12759316
  0.154880151  0.127458304
  0.156160146  0.120191
  0.157440156  0.106660314
  0.158720151  0.0932494998
  0.160000145  0.083674632
  0.161280155  0.0716573447
  0.16256015  0.0693048313
  0.16384016  0.0613632351
  0.165120155  0.0560588501
  0.166400164  0.05096424
  0.167680159  0.0429027677
  0.168960154  0.0363397114
  0.170240164  0.0372087918
  0.171520159  0.0311551969
  0.172800168  0.0271694139
  0.174080163  0.0255810935
  0.175360173  0.0266000163
  0.176640168  0.025431253
  0.177920163  0.0214454699
  0.179200172  0.0190629903
  0.180480167  0.0237530284
  0.181760177  0.0238129646
  0.183040172  0.0260605868
  0.184320182  0.0247419812
  0.185600176  0.0283531621
  0.186880171  0.0321441516
  0.188160181  0.0265700482
  0.189440176  0.025760904
  0.190720186  0.0187633075
  0.19200018  0.0213106126
  0.19328019  0.0227490906
  0.194560185  0.0302111953
  0.19584018  0.0299714487
  0.19712019  0.0279635731
  0.198400185  0.0265400801
  0.199680194  0.018598482
  0.200960189  0.0196923241
  0.202240199  0.0245471876
  0.203520194  0.027244335
  0.204800189  0.0198421665
  0.206080198  0.0202467386
  0.207360193  0.030450942
  0.208640203  0.0313949436
  0.209920198  0.0273642074
  0.211200207  0.028652845
  0.212480202  0.0272892863
  0.213760197  0.024682045
  0.215040207  0.02469703
  0.216320202  0.0224044546
  0.217600212  0.0232135989
  0.218880206  0.0180140994
  0.220160216  0.0229588691
  0.221440211  0.0232735351
  0.222720206  0.0188831799
  0.224000216  0.0206063576
  0.22528021  0.0271394458
  0.22656022  0.0301662423
  0.227840215  0.0274091605
  0.229120225  0.0234982986
  0.23040022  0.0303460527
  0.231680214  0.0307506248
  0.232960224  0.0296867508
  0.234240219  0.0272743031
  0.235520229  0.0227041375
  0.236800224  0.0259107444
  0.238080233  0.0248768385
  0.239360228  0.0278437007
  0.240640223  0.022164708
  0.241920233  0.0232885201
  0.243200228  0.0296417978
  0.244480237  0.0307656098
  0.245760232  0.027559001
  0.247040242  0.0245471876
  0.248320237  0.0270645246
  0.249600232  0.0314249098
  0.250880241  0.0295069404
  0.252160251  0.0264351908
  0.253440231  0.0265550632
  0.254720241  0.0295668766
  0.256000251  0.0260456018
