Total Power only
 Time (s)               Data...
  0.000552000361  0.0799557418
  0.00110400072  0.139197066
  0.00165600108  0.109318703
  0.00220800145  0.110177688
  0.00276000192  0.0818884596
  0.00331200217  0.0831339881
  0.00386400265  0.0707073435
  0.00441600289  0.0617738999
  0.00496800337  0.0890896171
  0.00552000385  0.0621890761
  0.00607200386  0.142890692
  0.00662400434  0.307357639
  0.00717600482  0.32406491
  0.00772800529  0.450994223
  0.00828000531  0.617737472
  0.00883200578  0.84538275
  0.00938400626  0.948375046
  0.00993600674  0.941374302
  0.0104880072  0.999985695
  0.0110400077  0.973686457
  0.0115920072  0.907000601
  0.0121440077  0.769162178
  0.0126960082  0.659226418
  0.0132480087  0.477880448
  0.0138000092  0.4137429
  0.0143520096  0.263807118
  0.0149040101  0.276505768
  0.0154560106  0.166527092
  0.0160080101  0.237894416
  0.0165600106  0.149361715
  0.0171120111  0.164322361
  0.0176640116  0.14781554
  0.018216012  0.156190649
  0.0187680125  0.168058947
  0.019320013  0.140900716
  0.0198720135  0.125052437
  0.020424014  0.105166949
  0.0209760144  0.131451875
  0.0215280149  0.220313862
  0.0220800154  0.230893686
  0.0226320159  0.322919577
  0.0231840145  0.386241078
  0.023736015  0.356663376
  0.0242880154  0.276319653
  0.0248400159  0.231623828
  0.0253920164  0.273313224
  0.0259440169  0.238839298
  0.0264960174  0.250092
  0.0270480178  0.134544224
  0.0276000183  0.116233535
  0.0281520188  0.139898568
  0.0287040193  0.0952313542
  0.0292560197  0.12259002
  0.0298080202  0.123062462
  0.0303600207  0.100299366
  0.0309120212  0.107858434
  0.0314640217  0.090664424
  0.0320160203  0.0814303383
  0.0325680226  0.0754317567
  0.0331200212  0.0652241558
  0.0336720236  0.0799557418
  0.0342240222  0.139197066
  0.0347760245  0.109318703
  0.0353280231  0.110177688
  0.0358800255  0.0818884596
  0.0364320241  0.0831339881
  0.0369840227  0.0707073435
  0.037536025  0.0617738999
  0.0380880237  0.0890896171
  0.038640026  0.0621890761
  0.0391920246  0.142890692
  0.039744027  0.307357639
  0.0402960256  0.32406491
  0.0408480279  0.450994223
  0.0414000265  0.617737472
  0.0419520289  0.84538275
  0.0425040275  0.948375046
  0.0430560298  0.941374302
  0.0436080284  0.999985695
  0.0441600308  0.973686457
  0.0447120294  0.907000601
  0.0452640317  0.769162178
  0.0458160304  0.659226418
  0.046368029  0.477880448
  0.0469200313  0.4137429
  0.0474720299  0.263807118
  0.0480240323  0.276505768
  0.0485760309  0.166527092
  0.0491280332  0.237894416
  0.0496800318  0.149361715
  0.0502320342  0.164322361
  0.0507840328  0.14781554
  0.0513360351  0.156190649
  0.0518880337  0.168058947
  0.0524400361  0.140900716
  0.0529920347  0.125052437
  0.053544037  0.105166949
  0.0540960357  0.131451875
  0.054648038  0.220313862
  0.0552000366  0.230893686
  0.0557520352  0.322919577
  0.0563040376  0.386241078
  0.0568560362  0.356663376
  0.0574080385  0.276319653
  0.0579600371  0.231623828
  0.0585120395  0.273313224
  0.0590640381  0.238839298
  0.0596160404  0.250092
  0.0601680391  0.134544224
  0.0607200414  0.116233535
  0.06127204  0.139898568
  0.0618240424  0.0952313542
  0.062376041  0.12259002
  0.0629280433  0.123062462
  0.0634800419  0.100299366
  0.0640320405  0.107858434
  0.0645840392  0.090664424
  0.0651360452  0.0814303383
  0.0656880438  0.0754317567
  0.0662400424  0.0652241558
