Stokes I Q U V
 Time (s)               Data...
  0.00214700005  15.5415955 -2.09460473  7.98267221  5.64687014
  0.0042940001 -8.05126381 -9.03312969 -1.14619827 -3.84772038
  0.00644099992  10.9032745 -9.17910099  5.42638922 -21.1557999
  0.0085880002  0.422866762  7.72832155 -3.70248127 -1.07250023
  0.0107349996  0.461081564  5.17089653 -11.1520786 -1.80263197
  0.0128819998 -4.57849455  4.04010201 -4.8701663  12.1101551
  0.0150290001  0.203131706 -6.98952484  2.57943082 -2.82481647
  0.0171760004  2.6870935  2.24951482 -6.76869202  8.34871769
  0.0193230007 -2.97347331  4.44103765 -6.03951216 -1.61991918
  0.0214699991  3.23643112  3.41923523  12.364397  0.643848956
  0.0236169994 -0.236338452 -1.00078976 -10.6404896 -8.7039957
  0.0257639997 -8.37609005  0.0949715972  10.1369925 -5.78274965
  0.027911 -10.9317045  1.22771251  4.18562031 -10.6764307
  0.0300580002  3.30808377  0.46087414  5.60909939 -4.13977289
  0.0322050005 -1.00063431 -0.0140206516  2.76047993 -3.04421568
  0.0343520008 -3.19320822 -1.91359985 -1.65778708 -2.86150289
  0.0364990011 -4.57849455  8.05529881  5.46293116  1.00927448
  0.0386460014 -10.0193262  1.19073296  1.73896337  4.95270538
  0.0407930017  1.62663281  8.23824978 -3.66593933  2.17748547
  0.0429399982 -11.9921646 -11.7715597  2.25055218  6.01157665
  0.0450869985 -2.82539082 -1.8026613  6.04760408 -3.40964127
  0.0472339988  2.28583813 -2.60647917 -4.14098597  8.75010967
  0.0493809991  12.8761129 -3.66526103 -0.232646778 -7.97386408
  0.0515279993  9.40334415  0.131951109  11.9624348  0.972588122
  0.0536749996  7.03402662 -5.89376307  5.46293116  6.66905451
  0.0558219999 -1.73149228  10.538765  10.3197031  0.205769897
  0.0579690002  6.81429148  6.96148348 -7.93803787  0.826561749
  0.0601160005  2.50557303 -4.50605822 -5.60100746  1.04524159
  0.0622630008 -11.5192566 -1.07280254 -0.926945865  0.534509003
  0.064410001  3.96251225  1.77462006  11.2332544  2.36019826
  0.0665569976  0.461081564 -1.65668952  5.42638922  10.8318853
  0.0687040016  8.52918053  3.52822757  11.0505438 -3.4822948
  0.0708509982  0.164916903  5.13391685 -3.73902345  6.74170828
  0.0729980022  12.3267756  5.2448554  1.30045867 -10.2376328
  0.0751449987 -5.63895512  9.11408043 -0.123020597 -2.71547651
  0.0772920027 -4.3587594 -4.43209934 -14.6202517 -0.963160276
  0.0794389993 -21.7035007 -9.61701679 -0.305730879 -0.743761122
  0.0815860033 -2.68208528 -2.89842272  16.5634117  1.81205976
  0.0837329999  5.46244287 -1.40172553  16.8192062  4.76999283
  0.0858799964 -2.31426787 -3.33633804  13.1317806  8.60408401
  0.0880270004 -6.11186314 -5.08994532 -4.61437178  2.14079905
  0.090173997  1.91802061  1.22771251 -3.8486495  7.07044744
  0.092321001  1.08207202  2.36045337 -11.7350903  13.1690264
  0.0944679976  4.25867701  8.96810818 -6.84177637 -4.72387838
  0.0966150016  1.29703021  10.9416466 -3.22743464 -7.42644501
  0.0987619981  2.79696107 -8.01132679  0.533075452 -5.30798388
  0.100909002  10.6453247  5.79176283 -9.58076954  3.78449464
  0.103055999 -8.48595715  1.48267651 -7.97458029 -11.3698759
  0.105203003 -5.5673027 -10.7867365  6.77844524 -2.42342377
  0.107349999 -3.73776913  0.715838194 -0.378814995  4.47794008
  0.109497003  1.08207202  3.92916322 -7.35336494 -4.46851206
  0.111644  1.08207202 -1.83964086  2.72393799  0.38848266
  0.113790996 -2.061095 -7.02455807  1.73896337  0.570476115
  0.115938  2.57722592 -4.68900967  4.98788452  5.20807171
  0.118084997 -8.74390697 -8.66917324  4.2952466  0.132397041
  0.120232001  1.95623541 -2.75245094  9.48089695  4.07654715
  0.122378998  4.8414526 -12.68437  1.84858954 -11.7712688
  0.124526002  2.50557303 -2.09460473 -8.88813114  0.863248169
  0.126672998 -7.94139671  2.21253538  0.0596896932  6.08494949
  0.128820002 -5.6771698  2.39548659 -10.7501154 -6.91499329
  0.130967006 -1.40188968 -12.9763136 -1.32890856 -11.9539814
  0.133113995 -2.3524828  7.25342703  0.132773817 -13.9990702
  0.135260999 -14.5477791 -2.35151505 -2.16771483 -10.0189524
  0.137408003 -4.25366879  17.9891644  8.20192432 -9.98226643
  0.139555007 -3.37472844  12.5843153 -4.21407032  12.5842009
  0.141701996 -4.17723942  6.88752413 -1.25582445  10.4664593
  0.143849  6.04521847 -0.0140206516  0.56961751  8.42209053
  0.145996004 -8.01304913 -2.46050739 -8.34000111  8.82348251
  0.148142993 -6.51311874 -4.50605822  0.606159568 -3.59235406
  0.150289997 -3.52281094  1.44569695  2.46980453 -5.52738333
  0.152437001  6.37482119 -1.83964086 -2.24079895 -0.670388222
  0.154584005  8.34766006  1.92059183 -5.82025957  9.0421629
  0.156730995  2.94026637 -3.04439449  2.7970221 -1.36455297
  0.158877999  11.8873053  4.55002975  7.69033575 -1.2185266
  0.161025003  3.34629869  4.29506588  8.93276596 -0.707074702
  0.163172007 -3.30307579  2.76138926  2.25055218  2.46953797
  0.165318996  0.164916903  7.14248848 -13.4525671  3.96648812
  0.167466 -7.21053886  4.7329812  0.7523278  4.14920092
  0.169613004  4.62171745  4.55002975  0.315484107 -6.14817476
  0.171759993 -14.2563915 -14.4379768  1.59279513  6.41368818
  0.173906997 -0.48951146  7.54537058  1.00812221 -2.56945014
  0.176054001  4.87966728  3.60024023 -4.72399807 -2.46011019
  0.178201005 -3.52281094 -11.2966652 -5.08941841 -15.9707851
  0.180347994  17.0749645  0.46087414 -5.08941841  1.30132723
  0.182494998  4.55006456 -5.63685274 -5.67409134  2.90761709
  0.184642002  4.11059475  1.1537534  3.16244268 -3.26361489
  0.186789006  0.752469361 -7.20750904  11.7448435  12.3655214
  0.188935995 -3.63267851 -2.20554328 -0.817319691 -10.5663719
  0.191082999 -1.44010448 -8.01132679  9.44435501  3.01767635
  0.193230003  5.93535089 -7.90233469 -4.72399807 -1.58395219
  0.195377007 -8.34265232  8.96810818 -15.7895975  4.73330641
  0.197523996  7.03402662  0.861809909 -9.98273277  0.0230571106
  0.199671  7.43528175  10.0268908 -8.34000111  6.34031534
  0.201818004  3.19821644 -2.38849473 -7.64570141 -2.93487573
  0.203964993  10.8316221  5.39082718  1.1908325  14.3739233
  0.206111997 -3.8476367  12.8023005 -6.36839056  6.88773441
  0.208259001  0.933989644  7.5083909  3.85674167  1.4473536
  0.210406005  1.77471519 -3.77425337 -5.12596035 -12.9401989
  0.212552994  6.15508604  7.17946768  0.533075452  3.49244189
