Total Power only
 Time (s)               Data...
  0.0025356228  0.042206455
  0.0050712456  0.0389562845
  0.00760686863  0.0454413667
  0.0101424912  0.0324559398
  0.0126781138  0.055191882
  0.0152137373  0.0616769679
  0.0177493598  0.0616769679
  0.0202849824  0.0454413667
  0.022820605  0.042206455
  0.0253562275  0.0616769679
  0.0278918501  0.0357061103
  0.0304274745  0.042206455
  0.0329630971  0.055191882
  0.0354987197  0.0486915372
  0.0380343422  0.0486915372
  0.0405699648  0.0194705129
  0.0431055874  0.0292057674
  0.0456412099  0.0811627358
  0.0481768325  0.0357061103
  0.0507124551  0.0519417115
  0.0532480776  0.0389562845
  0.0557837002  0.0227206834
  0.0583193228  0.0357061103
  0.0608549491  0.0681773126
  0.0633905679  0.0389562845
  0.0659261942  0.0194705129
  0.068461813  0.0389562845
  0.0709974393  0.0454413667
  0.0735330582  0.0454413667
  0.0760686845  0.0519417115
  0.0786043033  0.0681773126
  0.0811399296  0.077912569
  0.0836755559  0.0908979923
  0.0862111747  0.08441291
  0.088746801  0.113633938
  0.0912824199  0.152590215
  0.0938180462  0.237003133
  0.096353665  0.32141605
  0.0988892913  0.464286268
  0.10142491  0.597390711
  0.103960536  0.714274824
  0.106496155  0.857129753
  0.109031782  0.957778275
  0.1115674  1.
  0.114103027  0.95129323
  0.116638646  0.83765924
  0.119174272  0.685053766
  0.121709898  0.516227961
  0.124245517  0.415579468
  0.126781136  0.340901822
  0.129316762  0.308430612
  0.131852388  0.298695356
  0.134388015  0.262989253
  0.136923626  0.269474328
  0.139459252  0.262989253
  0.141994879  0.279209584
  0.144530505  0.259739071
  0.147066116  0.240253299
  0.149601743  0.1915465
  0.152137369  0.162325472
  0.154672995  0.123369195
  0.157208607  0.0973983333
  0.159744233  0.0519417115
  0.162279859  0.042206455
  0.164815485  0.0259708557
  0.167351112  0.0681773126
  0.169886723  0.0292057674
  0.172422349  0.0227206834
  0.174957976  0.0129854279
  0.177493602  0.0357061103
  0.180029213  0.042206455
  0.18256484  0.0162203405
  0.185100466  0.0454413667
  0.187636092  0.00648508454
  0.190171704  0.0227206834
  0.19270733  0.0227206834
  0.195242956  0.0129854279
  0.197778583  0.0194705129
  0.200314209  0.0357061103
  0.20284982  0.
  0.205385447  0.042206455
  0.207921073  0.0486915372
  0.210456699  0.0486915372
  0.212992311  0.0389562845
  0.215527937  0.0227206834
  0.218063563  0.0454413667
  0.220599189  0.0389562845
  0.223134801  0.0292057674
  0.225670427  0.0259708557
  0.228206053  0.0129854279
  0.23074168  0.0259708557
  0.233277291  0.042206455
  0.235812917  0.042206455
  0.238348544  0.0519417115
  0.24088417  0.0357061103
