Stokes I Q U V
 Time (s)               Data...
  0.00176899997 -2.31102276 -8.91965008  1.12415934 -2.16075182
  0.00353799993  0.345468462  3.51009727 -1.73132873  1.72308445
  0.00530700013  4.09848022  1.66309261 -2.27049971 -6.58323908
  0.00707599986 -3.558465 -1.23223507  0.26525265 -2.22039652
  0.0088449996 -1.85157931 -1.40183592  7.02443409 -5.15592957
  0.0106140003  4.05841255  1.49349189 -0.46321699 -4.24738932
  0.012383 -0.584103107  1.8828814 -2.70984197  6.54551458
  0.0141519997  0.883711755  1.09415126 -5.34542322 -2.52000666
  0.0159210004  0.294716001 -0.623056769  9.03137493  7.78325605
  0.0176899992 -2.92005253  2.05248213  4.97793818  2.12256479
  0.0194589999  0.384200603 -0.203814 -0.693012178 -3.16869974
  0.0212280005  6.35562944  6.15621567  8.53222942 -3.84790874
  0.0229969993 -1.34271908  3.53043199 -5.18579102  0.655029476
  0.024766 -5.97454977 -0.672812104 -3.55838895 -0.423197448
  0.0265350007 -1.71134222  0.804704964 -0.832867086  5.3373642
  0.0283039995  1.6623615  4.77820921  4.38885212  3.79954982
  0.0300730001  2.37156057 -0.0238294955 -7.14234638 -6.53330421
  0.0318420008  3.76992464  3.90943789 -4.12722635  3.83977532
  0.0336109996  0.694057822  1.97287369  2.58156943 -2.15057993
  0.0353799984 -0.0845919624  3.05105019 -6.24388504  1.87288964
  0.0371490009 -1.40282059 -4.56670761  2.43182588  0.48534283
  0.0389179997 -4.41725016 -0.413219064 -0.533379853  4.28919077
  0.0406869985 -2.81988311 -4.79644775 -0.393525004  1.06421936
  0.042456001  4.97729921  1.69337845  0.255363941 -4.80638409
  0.0442249998  1.68239546  1.55363095 -0.313473403 -1.71133649
  0.0459939986  1.17353511  8.79195023 -1.29198658 -10.2673349
  0.0477630012  2.34217763 -5.07594299  1.56350136  7.70326757
  0.049532  6.23542643 -4.52647066 -2.28038859 -6.82320499
  0.0513009988  5.90553522 -0.723000109  8.48231506 -3.24868846
  0.0530700013 -0.753723264 -1.97077727 -4.48698759  0.295312285
  0.0548390001 -4.04729176 -2.15032911 -6.28391075 -2.55006027
  0.0566079989 -2.65961218  0.784802854  6.43534803 -4.06753063
  0.0583770014 -0.693621635 -1.67138004  4.2890234  1.81278265
  0.0601460002  0.724776387  0.914599359 -2.29027724 -6.23415613
  0.061914999 -1.62185764 -2.48996353  2.52176619 -4.35696888
  0.0636840016  0.434953094  1.23389876 -7.85150957 -1.53147793
  0.0654530004 -3.19919109  0.794753909 -5.9147315  3.9197638
  0.0672219992 -1.21316671  7.00465202 -1.73132873 -3.63799667
  0.068990998  4.39898825 -1.05225062  2.83114219  0.844597697
  0.0707599968 -1.18244803  4.5186162 -7.60193682 -2.72945642
  0.072529003  0.784878016  0.784802854 -0.413302451  0.55515939
  0.0742980018 -1.97178257  2.76160383 -2.53985 -0.523067534
  0.0760670006 -5.55517435 -6.37347555 -6.22410774  5.00770044
  0.0778359994  4.11851406  5.60674381 -10.0279713 -1.36179125
  0.0796049982  6.83377123  0.285518885  3.70982623 -1.11211598
  0.081373997  6.40504646 -1.14224291  3.64013433  13.084693
  0.0831430033 -0.702970743 -0.21376507  1.40339816 -5.59517288
  0.0849120021  3.219661  0.0259258375  6.4654851  0.185732603
  0.0866810009  7.53362131 -2.72965431  5.08765602  5.08768892
  0.0884499997  7.1436286 -4.43691111  3.90948439  3.47034836
  0.0902189985 -2.33105659 -3.84763503 -5.41511536 -1.6715734
  0.0919879973 -1.19313276 -2.38006902 -1.63149965 -3.10905528
  0.0937570035 -1.79147768  0.714712739  0.854338348 -1.6012944
  0.0955260023  0.00489266124  0.155722365  6.77486134  0.12562561
  0.0972950011 -5.09573078 -3.73817325 -3.46844864 -3.82802725
  0.099064  0.65399009 -5.08589363  5.14745903  4.25913715
  0.100832999 -0.693621635  6.08612537 -1.48175597 -0.423197448
  0.102601998  1.95218492 -8.67000866  8.10277653  0.375300795
  0.104370996 -1.08227873  2.93120456 -4.13758612  7.48364592
  0.106140003  0.285366863  5.53708601 -2.27049971  5.51676035
  0.107909001 -5.23596811  0.614769399 -4.91596985  4.72843409
  0.109678 -5.60592651  4.54846954 -4.17714071 -1.15234149
  0.111446999 -1.941064 -2.50986552  5.97622871 -1.43160784
  0.113215998  4.94791651 -1.1521939  0.864697933 -2.04053783
  0.114984997  1.47270763  2.98095989 -2.86947417  2.36206794
  0.116754003  0.854328752  0.954403639 -3.8776536 -13.2625132
  0.118523002  2.93117332  1.00415897  0.045817066  7.18449831
  0.120292  3.23969507  3.25050402 -0.892670333  2.81148338
