Stokes I Q U V
 Time (s)               Data...
  0.000597000006  5.73643351 -4.67108345  6.92583132  1.08632863
  0.00119400001  6.70470762 -4.88011122  7.1024828  0.0866859406
  0.00179100002  11.4240265 -4.99401999  10.4685078  1.82043803
  0.00238800002  15.7897663 -4.11445761  15.0932932 -2.69721985
  0.00298499991  19.7249985 -5.23416758  18.4844151  1.74437177
  0.00358200003  25.6345024 -6.12606001  24.501173  2.2948041
  0.00417899992  33.8652 -3.61478662  30.7708416  0.788851559
  0.00477600005  47.196907 -1.21037579  48.0363197  0.118430138
  0.00537300017  33.1824532 -1.26087141  32.0170517  2.40221524
  0.00596999982  7.54501247  0.510583341  7.43744421 -0.716701686
  0.00656699995  1.55414045  1.40247583  0.90231657  1.32670593
  0.00716400007  1.26935399 -0.558630824  2.28753185 -1.88704419
  0.00776100019  1.23828638 -0.318483323  2.23733592  2.16183782
  0.00835799985  0.567373753  0.111903265  0.218879327 -2.56405401
  0.00895499997 -0.616154492 -1.06476068 -0.786970437 -0.103180274
  0.00955200009  0.616934001 -0.19165726  1.19963109 -0.533423901
  0.0101490002 -1.07181287 -0.779989243 -1.22328913 -0.356335223
  0.0107460003 -1.27967 -0.141161695 -2.1721859 -3.03881931
  0.0113430005 -1.05849814  0.143609777 -1.14123809  0.52331835
  0.0119399996  0.56071645 -0.166409478  1.81356633 -0.799156725
  0.0125369998 -0.724151433  0.314472675 -3.04578853 -1.40648901
  0.0131339999  1.42691112 -0.172868207 -2.30539823 -1.10262322
  0.013731 -0.635386825 -2.98828936  1.07317591 -1.89343297
  0.0143280001 -0.87505126 -2.10872722  0.877218604 -0.400258005
  0.0149250003  0.352119565 -0.774117708  1.47184765 -0.330780149
  0.0155220004 -0.616154492 -0.786448002  2.05971956 -2.35562038
  0.0161189996  0.662056029 -1.84333181  0.567355096 -3.41835213
  0.0167159997  0.485266507 -0.710704625 -1.89417744  0.181718871
  0.0173129998  2.22505307 -2.31775522  0.0991812721  0.675251245
  0.0179099999  1.99722385 -0.0777486637  2.68620372  1.20012856
  0.0185070001  19.2116413  16.1313267 -6.07588673  3.98423409
  0.0191040002  39.4899178  32.3527336 -12.2886019  9.48236847
  0.0197010003  33.5937309  28.4493084 -15.0474491  8.65981483
  0.0202980004  25.1033936  21.1673775 -15.2241001  4.73711061
  0.0208950005  20.5978489  17.4089813 -13.2693539  5.04077673
  0.0214920007  19.1295357  12.9865103 -12.5926733  6.85019588
  0.0220890008  16.0553207  11.0189447 -11.4285135 -0.495290935
  0.0226860009  11.0955973  5.92006731 -6.31624842  1.40277231
  0.0232829992  8.04505348  3.35771108 -5.99383593  1.24465024
  0.0238799993  4.47671556  1.52284324 -2.01387548 -2.84875345
  0.0244769994  3.19924474  0.00445341086 -0.678856075  2.89574766
  0.0250739995  0.770052969  0.346179187 -4.35474443  1.68747175
  0.0256709997  0.807777941 -0.432391912  1.3202945  1.05478406
  0.0262679998  0.377269536 -0.362520158 -0.179792419  0.358807564
  0.0268649999 -0.299560666 -0.19811599 -1.0842849 -1.94434357
  0.027462  0.883967578 -0.634961307 -0.464557946  0.244807959
  0.0280590001 -0.761876404  0.150068521 -1.65960789  0.295718461
  0.0286560003  0.168672696 -0.00200532377 -3.17224383 -1.4316448
  0.0292530004  1.42173326 -0.774117708  0.174475208 -0.0650473088
  0.0298500005  0.883967578 -1.31195414  0.921622753 -0.235747218
  0.0304470006 -0.679029405 -0.603254795  2.92656517 -2.74753141
  0.0310440008  1.76273727 -0.356061399  3.07908368 -1.99465501
  0.031640999  0.934267521 -1.98248816 -0.98968488 -0.862445474
  0.0322379991 -1.19756269 -1.88090992  2.27498293 -1.21023405
  0.0328349993 -0.552539825 -1.94432294  2.33193612 -0.995212078
  0.0334319994 -1.02077317  0.668528736  1.79426014  0.447451711
  0.0340289995 -0.419392914  1.65554082 -2.42509627  0.124818906
  0.0346259996 -1.18572748  2.54156184 -3.04578853 -1.20384526
  0.0352229998 -0.255178362  1.03550231  0.00361589086  1.48502767
  0.0358199999 -0.0902241096 -0.438850641 -1.90672636  1.1560061
  0.036417 -0.818093956  0.346179187 -0.514753878  1.16239488
  0.0370140001  0.0170331337 -0.526924312  1.21893728  1.27639449
  0.0376110002  0.814435303 -0.0777486637  2.82617307  0.339641243
  0.0382080004 -0.248521015 -1.92553389  1.14943516  0.0930747092
  0.0388050005  1.87739158  2.31374454 -1.58431387  0.491574138
  0.0394020006 -0.786286652  1.20636523 -1.47040772  0.156163797
  0.0399990007 -0.622072101 -1.33720195 -1.96367955 -0.735868037
  0.0405960009  2.09190607 -0.29323554  2.26919103 -1.77324426
  0.041193001 -0.951240897  0.864639401 -0.628660083  0.561451316
  0.0417900011  0.270012289 -0.216905043  0.156134382 -0.678968012
  0.0423870012 -0.964555621 -1.21683455  2.00952363  0.52331835
  0.0429840013 -0.938665926  0.0297011919 -0.596804976  0.0615301654
  0.0435810015  0.0932227671  0.16239883  0.0480200052 -0.0398915373
  0.0441780016  1.95284152 -0.539841771 -0.79276228 -0.179046899
  0.0447750017  0.662056029 -0.660209119  2.28174019  0.681640029
  0.0453720018  0.845502913 -0.672539413  0.111730263 -3.60162997
  0.0459689982  0.908377826 -1.59613848  3.40149617  0.23841919
  0.0465659983  1.56079781 -1.20391715  3.61000228 -0.463746399
  0.0471629985  2.2058208 -1.77991879  0.573146939 -1.14075625
  0.0477599986  3.39526653 -0.457639694  1.16777599 -0.982634187
