Stokes I Q U V
 Time (s)               Data...
  0.00187000004  27.4186535 -5.14278173  2.24907565 -12.4568071
  0.00374000007  32.9021606  6.99505329  12.7911634 -2.61438417
  0.00560999988  20.6488228 -3.50935745  2.01523042  1.8204571
  0.00748000015  10.5744705 -4.94768906  11.1966858  0.575776756
  0.00934999995  11.3895121 -5.45391035 -8.21592999  8.78409386
  0.0112199998  3.88226271  3.9220221  9.99021721  5.05005312
  0.0130899996  0.416951805 -0.396797925 -7.0493021  17.3432236
  0.0149600003 -7.63365841 -1.48574746 -10.2391243 -1.91358387
  0.0168299992 -20.4747143  8.74578857 -5.842834 -4.05377674
  0.0186999999 -26.889698  8.12353134  3.22169852 -12.6901331
  0.0205700006 -19.1883907  4.0380578  13.9586573 -10.7060385
  0.0224399995  2.98405409 -7.55530262  6.80039597  9.95154667
  0.0243100002 -26.3075256 -6.69842434  9.99021721  1.04242921
  0.0261799991 -8.02177334 -4.36496067 -5.99873114  16.4485321
  0.0280499998 -10.3560066 -4.9872179 -12.8451986  4.07731295
  0.0299200006 -18.645031 -15.7632284 -3.89758873  21.0386505
  0.0317899995 -10.2783833  4.19362164  3.22169852  11.0015144
  0.0336599983 -3.23687196  6.83948898  8.9015379  5.90530872
  0.0355300009  3.76582813 -10.4332409  22.2445717 -2.03024697
  0.0373999998  1.15991449 -12.6506681  0.770654321  6.13863516
  0.0392699987 -6.39169073 -16.774395  6.52844286  11.8575916
  0.0411400013  4.69730377  11.5472193 -3.39179015 -0.35752812
  0.0430100001 -8.02177334  2.98863673  2.59897733  4.07731295
  0.044879999 -3.78577709  6.21723175 -1.95234299  6.37278271
  0.0467500016 -5.72635126 -7.12686348  10.4570417  17.8098755
  0.0486200005  7.14797163 -5.64900303  15.4760523  5.12728119
  0.0504899994  1.04348004  7.11236382 -2.6919868  12.7917185
  0.0523599982 -10.7884769  0.771208882 -2.92496586 -0.630289733
  0.0542300008 -3.62498689 -6.5823884  0.925685048  8.1227293
  0.0560999997 -7.16792059 -7.20464563  1.31542706 -6.58257294
  0.0579699986 -3.15924907 -5.06500006  1.50943196 -2.22495937
  0.0598400012 -3.86340022  6.41104984  17.8491478 -5.29845715
  0.06171 -23.2746849  19.094635  17.7322254  6.95609856
  0.0635799989  3.92107415  18.1995029 -3.50871277  14.4644375
  0.0654499978  17.6936054  15.4376001 -7.59407473 -3.27574897
  0.0673199967  14.3447294  13.3757362  18.0821266 -16.4636097
  0.069190003 -0.863827109 -5.41565704 -6.50452948 -21.4045391
  0.0710600019  5.98362732  2.52066898 -1.95234299 -4.44237995
  0.0729300007  0.611009181 -8.91585159 -9.6943512  3.14318657
  0.0747999996  18.625082  0.187205479 -2.73096085  7.2674737
  0.0766699985  6.21649599 -1.01905477  8.78461552  3.10457277
  0.0785399973 -13.3555794 -6.34904242  16.1368828 -4.48181534
  0.0804100037  3.49414778 -1.09683692  10.0681658 -2.73104715
  0.0822800025  7.18678331  6.33326769 -5.37600994 -0.0855880678
  0.0841500014 -6.4693141 -7.63308477 -8.8386507  6.83943558
  0.0860200003 -14.3258667 -1.64131176 -13.7407389  3.53261137
  0.0878899992 -3.00400305 -0.123922966 -17.3973846 -4.52042913
  0.089759998  3.72701669 -15.7632284 -0.0850458518 -4.67570639
  0.0916299969  8.3178606 -4.52052498  2.83195639  3.88260078
  0.0935000032  1.66446376 -3.27473617  17.8881226 -0.590854347
  0.0953700021  6.37174177 -7.12686348  3.88252759 -8.09919357
  0.097240001  27.0305386 -8.25534153  0.186907455 -19.4590588
  0.0991099998  2.013767  2.94910812 -4.09245968 -1.87497008
  0.100979999 -8.60948944 -0.319015801  10.9238663  13.68641
  0.102849998 -2.6546998 -5.3761282  1.58738029 -7.16588831
  0.104719996 -9.81264591 -2.03022242  5.82777309 -9.96662426
  0.106590003 -3.31449485 -10.8221512  11.3127422  1.50990319
  0.108460002  12.9087048 -2.65247917 -0.551870167  6.02197218
  0.110330001  12.3209877  3.8824935 -8.8386507  13.8803005
  0.112199999  9.24933624  4.93318939 -5.7648859  22.8280315
  0.114069998 -0.825015604 -0.668397784  0.614757538  0.809102952
  0.115939997 -2.26658487 -3.97605014 -0.357865244  1.97655559
  0.117810003 -16.6601009 -12.2617579  3.68852282 -1.09694219
  0.119680002 -4.17389202 -7.16511679  5.5168457 -9.65524864
  0.121550001  5.35709906 -0.319015801 -7.0493021  3.53261137
  0.12342  2.82880807  5.05050039  5.71085072  4.11592674
  0.125290006 -0.126408949  5.98388577  1.54840612  7.96745253
  0.127159998 -0.24284339  12.4410763 -10.861845 -2.96437335
  0.129030004 -15.767436  8.47291279 -15.7630672  7.38413715
  0.130899996  2.16901302 -3.35251832 -6.07667923 -1.48636687
  0.132770002  19.4789333  7.42349243  0.731680155  5.98335838
  0.134639993  7.84657812  7.50127459 -7.63218307  9.83488369
  0.13651 -11.0601578  7.03458166 -7.2822814 -5.06513071
  0.138380006 -21.3673782 -4.01430368 -20.8600254 -7.86586714
  0.140249997  1.97495556 -12.3012867 -12.9231472 -15.7241955
  0.142120004  12.2045536 -4.3254323 -0.590844333  7.22803831
  0.143989995  13.0639505  7.15061712 -2.34208512 -5.06513071
  0.145860001  11.7388153  14.0757751  5.08899546  2.44320798
  0.147729993  11.777627  23.3331223  1.62635458 -2.18634558
  0.149599999  2.3242588 -0.279487193 -8.56669807 -9.42192268
  0.151470006 -28.641758 -3.43157554  0.848602712  10.5742979
  0.153339997 -6.27525663  17.7697887 -3.70358372 -7.47726393
  0.155210003  4.69730377 -11.7568121  4.85515022 -5.33707094
  0.157079995  15.2817488 -5.22056389 -3.70358372 -9.57802105
  0.158950001  21.2309952  0.965026617  2.24907565 -7.90530252
  0.160820007 -4.60081816 -10.7838974 -15.5300875 -13.7401009
  0.162689999 -2.49945378 -3.82048607 -6.19360209  7.96745253
  0.164560005  4.54205799  1.66506565 -6.30965853  6.21668434
  0.166429996 -8.72592449  10.4965229  5.749825 -2.88632417
  0.168300003  4.50324631  7.77287436  9.56236744 -1.17499149
  0.170169994  7.03153706  8.27909565 -1.71936393 -10.3560495
  0.172040001  7.9630127 -7.16511679  13.9196835 -4.55904293
  0.173910007 -3.74696565 -7.59355593 -1.83628654 -16.385561
  0.175779998 -8.37662125 -7.67133808  3.4157033  6.17807055
  0.177650005 -13.5884485  12.5979156  1.39250934 -6.27119732
  0.179519996 -7.55603552  14.3473759 -8.76070213 -15.7241955
  0.181390002 -15.2185307  6.91727114 -16.190918  5.05005312
  0.183259994  5.24066448  11.9743834  1.97625625 -7.78863955
