Stokes I Q U V
 Time (s)               Data...
  0.00131199998  9.16393566  8.33866882  4.74851894 -5.1557827
  0.00262399996  9.34881496  8.43027687  2.06599998 -1.60624433
  0.00393600017  11.7755461  2.89173484  5.27881479 -1.30013347
  0.00524799991  8.92934132 -1.68812096  8.74674702 -1.16747367
  0.00656000013  8.49122429 -0.270330966  7.65549564 -0.973804414
  0.00787200034  6.30840826  1.99429834  10.6234131 -0.361937404
  0.00918400008 -0.168573424  4.75850964  5.84999037 -4.58470678
  0.0104959998 -2.076401  8.81801224  4.43208218 -0.800353408
  0.0118079996 -4.9925189  7.03272581  2.15760016 -3.91147566
  0.0131200003 -8.48191738  6.28814602  2.92257404  2.85134006
  0.014432 -3.09556627  6.18641901  2.8309741  5.49283218
  0.0157440007  3.52434707  9.57271099  1.89264131  1.44351375
  0.0170559995  4.02460814  4.16678715  1.24992692 -1.04510021
  0.0183680002  3.67660046 -1.35151565 -2.85050011 -0.218991071
  0.0196800008 -0.0458385833  4.10553789 -6.27755308  2.13731766
  0.0209919997  3.47307801  1.39245653 -7.18522644  4.21837521
  0.0223040003  3.53366876  0.749604344 -8.6640749  1.50487781
  0.0236159991  4.28872108  3.67732477 -6.88960791  2.12703133
  0.0249279998 -0.964019477  5.97231245 -4.7578249  0.933447182
  0.0262400005 -1.3617425  9.60306931 -9.408988  0.433667094
  0.0275519993  0.606675744  9.80705643 -8.80715275  6.09476709
  0.028864  4.77810669  6.50278521 -5.77753782  5.50347328
  0.0301760007  5.49276543  5.53344727 -3.18699765  2.12703133
  0.0314880013  4.4829216  8.05266094  1.50504446 -0.239563987
  0.0328000002  2.4523592  11.5310936  3.38170981  6.52325153
  0.034111999 -3.78847456  12.9691219 -0.851196527  6.55375624
  0.0354240015 -6.33949471  13.6322136 -3.00341916  5.04412937
  0.0367360003 -6.55389261  15.0095253 -5.2165823  3.03472281
  0.0380479991  0.881663978  6.40052557 -7.82794046  1.62725115
  0.0393600017  3.92207003  3.51381564 -10.5513391 -0.0966176689
  0.0406720005  5.8796134 -1.2290169 -8.01151943 -1.82048655
  0.0419839993  7.2265892 -10.3477182 -9.88818455 -4.31938696
  0.0432960019  10.8775625 -11.0821781 -5.3187809 -2.98321128
  0.0446080007  8.97128868 -7.77737474 -3.31947708 -0.106904127
  0.0459199995  7.59324026 -0.361938745  0.872549832  1.67832875
  0.0472319983  1.81072009  2.75911665 -4.40088749  4.1055789
  0.0485440008  0.903414428  3.38119721 -4.45160818  2.14724946
  0.0498559996  0.412475079  4.38089371 -9.10277081 -7.72633362
