Stokes I Q U V
 Time (s)               Data...
  0.00141599996 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.00283199991 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.00424800022 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.00566399982 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.00707999989 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.00849600043 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.00991200004 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.0113279996 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.0127440002 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.0141599998 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.0155760003 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.0169920009 -2.76288683E-05 -7.13548388E-06 -2.88189563E-06 -3.88844455E-06
  0.0184080005 -0.0315882936 -0.00157832564  0.0558916926  0.0128258402
  0.0198240001 -0.027124377 -0.0388280489  0.027457742  0.0328240506
  0.0212399997 -0.0442595445 -0.0204326082  0.01974741  0.0289350506
  0.0226559993 -0.0496319085 -0.0689378902  0.0494689606  0.0106395194
  0.0240720008 -0.0160820596  0.0254099946  0.0106670959 -0.000219207926
  0.0254880004 -0.0600946955 -0.000292174402  0.0387104973 -0.00171981915
  0.026904  0.016590666 -0.000521595997  0.0570023246 -0.00202457909
  0.0283199996 -0.0437739976 -0.00132109539  0.00263944035 -0.0101537174
  0.0297359992 -0.0748960972 -0.0116311619  0.0454505533  0.0152208554
  0.0311520007 -0.0118060997 -0.0114434538  0.0178038068  0.0028813926
  0.0325680003  0.0063471552 -0.00180079509 -0.0141664622  0.000854076876
  0.0339840017  0.00789777841  0.036102429 -0.00752709294 -0.0508027226
  0.0353999995  0.0330523327 -0.0449668132 -0.0184503198  0.046369303
  0.0368160009  0.0481356643  0.018471729  0.0273417979  0.0172216706
  0.0382319987 -0.0675188899 -0.0094064679 -0.0244428385 -0.0294132177
  0.0396480002 -0.025025554  0.0172829088 -0.0175380167 -0.00427715201
  0.0410640016  0.0254401825 -0.0436528511 -0.0164456945  0.00830744393
  0.0424799994  0.0137086995  0.0153015405  0.0289802812  0.00619731285
  0.0438960008  0.0170762148  0.0214333534  0.0171630587 -0.0257329103
  0.0453119986  0.0359342992  0.000722842291 -0.00689244736 -0.00518811913
  0.046728  0.0340547562  0.0106922528 -0.0607457832 -0.00428377744
  0.0481440015 -0.0344545953  0.00266944966 -0.0179163627  0.0171984825
  0.0495599993  0.0138966534  0.00645838166  0.0154696545 -0.00430696551
  0.0509760007 -0.0122446595 -0.0102337766  0.00260282634  0.0386178009
  0.0523919985  0.0115315616 -0.0134387258 -0.0184198078 -0.0192799512
  0.0538079999 -0.0162700154  0.00363580114 -0.0056292587  0.0135049252
  0.0552240014 -0.0155338608 -0.0134387258  0.0281381551 -0.0229867585
  0.0566399992  0.0140376193  0.0117350779  0.0164795946 -0.00810321327
  0.0580560006 -0.0172097869  0.00379570108  0.0404344127  0.0254004989
  0.0594719984  0.0049374979  0.0236024298  0.0105633559 -0.00974295475
  0.0608879998 -0.0038963554 -9.75136791E-05 -0.00994362775  0.0067538307
  0.0623040013 -0.0527018271 -0.0405104719 -0.0207051411  0.0212663636
  0.0637200028 -0.0195278898 -0.0569940656  0.0291145332  0.00558116753
  0.0651360005 -0.0594368577  0.0244575478  0.0141973123 -0.0245503094
  0.0665519983 -0.0183845013 -0.0180202052  0.0194392409 -0.0141321588
  0.0679680035 -0.0176640097 -0.0237835534  0.0400530174 -0.00656285137
  0.0693840012  0.072366111  0.0338916406  0.0190669969 -0.0321593694
  0.0707999989  8.20111527E-05  0.00658352068  0.00605371129  0.0429738797
  0.0722159967  0.0134580936 -0.00542287529  0.0184476059 -0.0236592181
  0.0736320019 -0.0278605316  0.029511774 -0.00957748666 -0.0249312595
  0.0750479996  0.00169528578 -0.0399334431  0.0306279194 -0.0463505797
  0.0764639974  0.0234509986  0.0273705069 -0.0131351631  0.000767949095
  0.0778800026  0.0231220778 -0.0478241555  0.0465093143 -0.00295873429
  0.0792960003  0.024782341 -0.00216926006  0.0141851073  0.0152572943
  0.080711998  0.0422151051  0.0451472029 -0.0185082909  0.0469986983
  0.0821280032  0.00628450373 -0.00852354243  0.0400743745  0.026556598
  0.083544001  0.0848964006 -0.00154356484 -0.042939093 -0.0418653078
  0.0849599987  0.0365294851  0.0243463125  0.0816589147 -0.000533905637
  0.0863759965  0.0766420737 -0.0158997942  0.0408493727 -0.0366943292
  0.0877920017  0.0214774776  0.039703656 -0.00139116903  0.0387635566
