Stokes I Q U V
 Time (s)               Data...
  0.00117199996 -1.15471148  2.48105168 -0.232706323 -3.0194335
  0.00234399992  1.50204408  0.918410897 -1.82146084 -0.487975985
  0.003516  0.684222758 -1.73809564  1.60596669  1.42380536
  0.00468799984  0.626804531  0.157926798  3.1114738  0.715389848
  0.00585999992  0.579473317  3.43425083  0.0120973298 -1.44638848
  0.00703199999 -4.58738852  3.2258873 -1.253721 -2.67047381
  0.00820400007 -1.8895092 -0.498460591  0.699769855 -0.175411656
  0.00937599968 -0.956851423 -2.65489483 -0.664992869  1.80916047
  0.0105480002 -0.587512791 -0.373442531  0.595534265  1.97069073
  0.0117199998 -0.670536399  1.47053146  2.65308428  3.08531713
  0.0128920004  1.33987653 -0.31612131  2.52803683  1.83519614
  0.014064 -1.15471148 -0.0504366532  1.87687325 -0.639010131
  0.0152359996 -2.66543078 -0.227503061 -0.482801139 -2.06102109
  0.0164080001 -0.920383155  0.965356469 -2.21212387  1.39245355
  0.0175800007  2.24692893 -3.48834848  0.491298705  0.715389848
  0.0187519994  2.56971216 -1.42563546  3.1114738 -0.196267456
  0.0199239999 -0.675967813 -0.383818179  2.84056711 -0.675405502
  0.0210960004 -0.394308299  0.621599257  3.074965 -0.59211868
  0.0222679991 -0.576649845 -1.45676243  1.36645412 -0.665045798
  0.0234399997 -0.332234561  0.178848192  1.61637259  2.0124023
  0.0246120002  0.126335114  1.678895  1.61637259  0.855927944
  0.0257840008  1.7099911  0.350641727  2.0019207  0.152828589
  0.0269559994  0.480931282  1.06435037  0.87684685  0.329898387
  0.028128 -1.28506625  0.288217753  1.79362595  0.246475205
  0.0293000005 -2.29531622  1.75713754  2.86137915 -0.190951273
  0.0304719992 -1.77467287  2.00700355  0.72058171  0.178864256
  0.0316440016 -0.373358399  1.69981635 -1.23273277  0.204899922
  0.0328160003  0.0743483603  0.538253903  2.96561456  0.25697127
  0.033987999  0.214790165  0.121526979  1.60085189  0.730929434
  0.0351600014  0.214790165  0.110981241 -0.336941898  1.02263796
  0.036332 -1.72811747 -0.0817336962 -2.56098652  1.7831248
  0.0375039987 -1.44645798 -1.95683467 -2.58197474 -0.909862816
  0.0386760011 -2.53042054  1.11112583 -0.930608392 -1.04004121
  0.0398479998 -1.12367463 -0.269175768 -0.00359973474 -1.63913417
  0.0410199985 -0.311284661  0.756992996  0.0433150865 -1.71206129
  0.0421920009 -0.388876826  2.79878473 -0.732719541 -1.8474195
  0.0433639996 -0.868396401  3.80930495 -2.06626463 -2.47254825
  0.0445359983  1.16839778  2.64774251  0.783017218 -2.6756537
  0.0457080007  1.7099911  2.45502758  0.970500112 -1.47242415
  0.0468799993  1.47566283  1.40283465  2.0384295 -1.41503656
  0.0480520017  0.938725054  0.730968833  2.69982266 -1.20157135
  0.0492240004  1.0225246  0.668374717  2.15289474 -1.79016829
  0.0503959991  0.88208276  0.142278284  0.92887646 -0.508695483
  0.0515680015  1.1784848  0.637077689  0.600649059 -0.972293913
  0.0527400002  1.91328251  1.50710142  0.626752019 -2.04016519
  0.0539119989  2.26244736  1.56952536 -0.738010705 -2.22773099
  0.0550840013  2.99181366  0.506956875 -0.487915903 -0.800404012
  0.056256  3.25717878 -0.482812077  0.85074383 -0.878647327
  0.0574279986  3.14234233 -1.11827815 -0.519133627 -0.826439679
  0.058600001  3.22614193 -2.38921022 -0.982814372 -1.22760701
  0.0597719997  1.6161046 -0.748496771  1.63736081  0.444537103
  0.0609439984 -0.113424666  1.75713754  3.57497811  2.4394691
  0.0621160008 -0.139030084  3.21040893  2.24672437  2.7832489
  0.0632880032 -0.394308299  3.41877222 -0.32653597  3.10099316
  0.0644600019 -1.71725464  2.44465184 -0.279621154  1.85087204
  0.0656320006 -1.79019129 -0.0140368352  1.90809107  1.26227522
  0.0668039992 -0.472676367  0.918410897  1.85606146  0.262151122
  0.0679759979  1.78835917  1.60082245  0.0120973298  0.626786768
  0.0691479966  2.78309059  1.89253128 -2.09219122  0.204899922
