Stokes I Q U V
 Time (s)               Data...
  0.00517500006  6.08259249 -13.8080797  1.0624193 -2.20556355
  0.0103500001  10.7546959  5.15307283 -0.80191195  5.24077368
  0.0155250002  11.6662464 -1.37185693  0.920089185  0.88734448
  0.0207000002  0.567550242 -1.19653237 -0.779642582 -1.89815211
  0.0258750003  4.61398363  4.8900857  5.72348976  2.71838903
  0.0310500003  5.52390051 -0.0229413919 -1.76675546  10.3293953
  0.0362249985  1.74047685 -0.242589563  2.31289124  4.11136103
  0.0414000005 -0.540032327 -2.73209953  3.62871909 -3.93816495
  0.0465749986  10.3609972  5.16390753  0.580239654  3.53009844
  0.0517500006  9.08842087  11.5026779  4.73637676 -2.73178744
  0.0569249988 -2.05438185  4.03463984  1.63270819 -0.297106832
  0.0621000007  7.50872755  13.9596834  2.97080517 -1.51467097
  0.0672750026  4.26275921  0.777346194  0.920089185 -6.33973265
  0.0724499971 -1.9776026 -3.67520785  4.93389606 -1.61311412
  0.077624999 -2.2618494  2.10459232  15.0562811  5.2626996
  0.0828000009 -3.66674757  1.35847819  6.34848356  15.4287558
  0.0879750028 -14.1071014 -1.7229985  1.00771427  9.90161419
  0.0931499973  0.556115031  4.92308235  9.36452675 -3.11571622
  0.0983249992 -7.81119728 -5.14478207 -0.911322176  7.10537863
  0.103500001 -10.7925215 -9.03787327 -1.98606002 -2.95104742
  0.108675003 -11.8151569  0.579859853  0.755489707  3.5632112
  0.113849998 -15.1134005 -4.54148817  3.49703956  10.1870995
  0.119024999 -15.7161999 -5.08962393  10.1100664  2.07134843
  0.124200001  1.6424607 -4.15735054  8.02643013 -1.28422415
  0.129374996 -2.08705401  3.84798813  8.32270908  6.10752201
  0.134550005 -3.07374978  1.282143  7.30267668  4.8899579
  0.139725 -0.0466843322 -3.12657976  3.43119955  1.38045573
  0.144899994  5.68889427 -1.54767394  12.7751255  7.48930693
  0.150075004 -5.34445763  1.5997957  8.41033459  6.7653017
  0.155249998 -3.19463634 -1.90915775  2.93788528 -0.209402859
  0.160425007  8.87932014  1.99476838  3.46411967 -5.30921078
  0.165600002 -4.18133259  0.843339145 -2.80857348  4.97766161
  0.170774996 -2.2177422  3.39834976 -0.922456861 -2.16171145
  0.175950006 -3.08518505 -4.70597839  4.85692167 -6.21936369
  0.181125 -2.38273597 -2.12880588  1.402753 -5.44076681
  0.186299995  16.6340313 -0.593238652  5.39429045  4.27602959
  0.191475004  44.9721336 -6.15339088  7.60960627  5.1861825
  0.196649998  79.4836197 -14.2690458  1.53394842 -0.944147527
  0.201824993  91.3403091 -13.6327553  0.536185086 -2.05208158
  0.207000002  51.7385178 -3.81753588 -1.11997628 -0.220589593
  0.212174997  16.2174625 -18.3153 -2.22714996  6.21715164
  0.217350006  7.2130456 -12.75564 -2.13952494 -1.32807624
  0.222525001  22.599947  6.37049484 -2.91846776 -1.51467097
  0.227699995  13.9794273 -8.57690811  12.0073175 -4.34401941
  0.232875004  15.4496698 -7.14032984  13.2795744  2.80654049
  0.238049999  0.479335696 -7.96277952  2.57625055 -0.714148283
  0.243224993  4.32810307  1.3368088 -0.362818599  0.470303059
  0.248400003 -0.814477503  7.24761009  0.283960581 -3.08260345
  0.253574997  11.4016027  2.64189315 -4.04791069 -7.27225876
  0.258749992 -0.495925039 -1.71216381  3.56287932 -3.48845816
  0.263924986  4.75610733  6.3158288 -0.0888088644  0.711489022
  0.26910001 -1.99883938  0.689683974  0.163415655 -6.49321461
  0.274275005  8.15563393 -1.73383319  8.69547844 -11.6149492
  0.279449999 -1.22124457 -3.54322195  1.23815346 -0.395997554
  0.284624994  7.62961388 -0.450910568 -8.64265728  4.45143795
  0.289799988  17.2368298 -1.47084641 -0.867751718 -0.768739522
  0.294975013  15.361455 -0.538572848  5.13141537  6.22789097
  0.300150007  17.5439472  0.9639979  8.48682499 -3.19223356
  0.305325001  22.336937  3.04770064  3.36584401  0.41571182
  0.310499996  17.5325127 -3.88352871 -1.85438049 -0.121698864
  0.31567499  24.6942272 -5.18861341 -1.63507581  3.48624635
  0.320850015  31.1861629  1.04082549  2.23591685 -2.42482352
  0.326025009  28.5331917 -5.45160007  3.04777956  7.77434492
  0.331200004  17.1371803 -8.23709297 -0.385087937  4.54988098
  0.336374998  16.0295982  6.49115372 -2.56748366 -0.659109533
  0.341549993  1.54281092 -4.39866781 -8.33572769  3.5632112
  0.346724987  5.17267561 -4.48633003  12.391221 -4.44246292
  0.351900011  5.87512493  0.974832594  0.514399886 -6.97603416
  0.357075006  5.24945498  4.3636198  2.69679546 -4.12475967
  0.36225  15.2291327 -5.75891066 -1.01008189 -3.96009088
  0.367424995  14.165658  8.07055187  10.0989313  0.294895083
  0.372599989  3.90173292 -4.0918498  2.89383078  5.89900112
  0.377775013  2.56381249 -10.9349241  9.93481636  1.85208833
  0.382950008  7.18037319  2.40057564 -2.64397383 -4.15742493
  0.388125002  8.0020752  4.67043781 -7.06347036 -2.12859893
  0.393299997 -7.41749907 -1.7776643 -6.47139597 -0.702961504
  0.398474991  2.87092972  8.88167381 -14.7400999 -0.922221482
  0.403649986  14.1117487 -3.17041111  7.98237562 -3.99320364
  0.40882501  5.90779686 -0.198758423 -0.746722698 -7.04181194
  0.414000005  3.67139506  2.86104894 -1.18533194 -5.38572836
  0.419174999 -4.28098202  2.90488005  5.30666542 -7.40381479
  0.424349993 -5.59603214 -3.23640394  3.36584401  3.48624635
  0.429524988 -3.20607162  5.72337008 -2.84149337 -10.3535328
  0.434700012 -2.05438185  2.5429039 -7.01989985 -3.35690212
  0.439875007 -8.42543221 -7.33781624 -2.49050903  0.163339108
  0.445050001  0.0627670437 -1.35018766  4.21014261  9.3315382
  0.450224996 -8.57898998  4.11146736 -8.93893623  4.18832588
  0.45539999 -5.79369831  0.283876568  8.11405563  0.240303829
  0.460575014 -3.04107785  1.96177185 -5.07859421 -3.23653293
