Stokes I Q U V
 Time (s)               Data...
  0.001758 -1.09755003  0.349950343  3.15336561  0.899725616
  0.003516 -1.69311988 -1.19148612  1.0864861 -1.29524839
  0.00527400011 -3.26858044 -2.60401106  0.175799251  2.24231958
  0.00703199999 -0.840487838  1.72788918 -1.91424108  3.60836744
  0.00879000034  1.82176042 -1.74014628 -4.64630175  1.30837786
  0.0105480002  1.30763602  1.79784727 -4.90292454 -0.372928262
  0.0123060001 -2.0545342  0.665154815 -2.01939154  1.20315099
  0.014064  1.14474511 -0.52570504  3.31641841  2.30084944
  0.0158220008  1.22619057 -1.24965346 -0.0345017947  0.432543546
  0.0175800007  4.81106329 -0.210500538 -2.52105689 -5.41663551
  0.0193380006  7.06353903  4.50656223  1.30836761 -4.28428411
  0.0210960004  2.4516902  1.69251704 -3.5605185 -1.93738604
  0.0228540003  0.0821364447  2.77883291 -8.16073799 -4.16743565
  0.0246120002  1.37762821  2.12484241 -6.15222406 -2.22940135
  0.0263700001  1.74031496 -4.75227499 -3.39700246  1.17990816
  0.028128 -0.747589111 -3.80666161 -3.94591594 -0.314609736
  0.0298859999 -0.233464688  1.09748018  1.0864861  1.07468116
  0.0316440016  1.17910492  2.24117732  1.72850657 -1.15536845
  0.0334019996  4.86832952 -0.373998135  2.54608655  0.596088946
  0.0351600014  3.1287055 -1.03977919 -6.86465359 -2.497751
  0.0369179994 -0.630511284 -2.19526696 -2.52105689 -2.31096268
  0.0386760011 -1.52895641 -3.45608497  4.23914909 -2.34603834
  0.0404339992 -2.14870548  1.38910329  2.88469911  1.26168084
  0.0421920009  1.17910492  1.36552191  4.54255676  3.97032285
  0.0439499989  0.922042668 -2.41693187  1.64698017  0.199058145
  0.0457080007 -0.0934803188  0.396327049  0.607981801 -2.28771973
  0.0474659987 -1.34315896  2.45183754  3.87691236 -2.53282666
  0.0492240004 -0.233464688  3.39745116  3.15336561 -0.174518496
  0.0509819984  0.583535016  1.13206625 -0.431479752  2.65097189
  0.0527400002  1.05057383 -2.67396903 -3.71199083  0.257376671
  0.0544979982  3.75990772 -0.385788828  1.6821847 -2.52120519
  0.056256  3.49139214 -4.43707037  6.3291893 -2.91802478
  0.0580140017  3.61992335 -1.50669062  1.14485168  0.724558771
  0.0597719997  6.43360901 -1.51848125  2.81475306 -4.55263376
  0.0615300015  4.82251644 -6.74883223 -0.804833591 -0.87476337
  0.0632880032  2.53313565 -3.54962444 -5.3471508 -0.513019502
  0.0650459975  1.88029933  3.01228857 -1.84429514  4.43750477
  0.0668039992  1.55324495 -0.210500538  1.56545377  1.60018182
  0.068562001  3.2814157 -0.186919153  4.6708684  0.502694786
  0.0703200027  1.31908929 -3.85303831  1.62381923  1.64687896
  0.072077997 -0.197832301 -2.95458746 -2.69661665 -1.21368694
  0.0738359988 -2.52157283  1.54081023  1.83365703 -0.87476337
  0.0755940005  0.829143941  3.51378584  5.78027582  2.09060693
  0.0773520023  5.95511723  4.13319016  7.94026232 -2.04261303
  0.0791099966  4.69398546  4.79818535  8.15056324 -3.06994867
  0.0808679983  2.61585355  3.57273936  2.47614074 -0.209594131
  0.082626  3.68991542  2.48642373  1.74055016 -3.50184393
  0.0843840018  1.33181512  0.61877811  2.20747399 -4.42458677
  0.0861420035 -3.18713498 -4.43707037  3.87691236  0.163982511
  0.0878999978  2.21880698 -3.74849415  10.2285595  1.83366728
  0.0896579996  4.98540735 -1.14432335  3.74860096 -2.4045682
  0.0914160013  1.35472167 -4.65873528 -3.5605185  1.85712147
  0.0931740031  3.16433787 -2.18347621  1.16847575  1.086514
