Stokes I Q U V
 Time (s)               Data...
  0.00112300005 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00224600011 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00336900004 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00449200021 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00561500015 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00673800008 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00786099955 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.00898400042 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.0101070004 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.0112300003 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.0123530002 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.0134760002 -1.35149085E-05 -1.96922065E-05 -5.09162373E-06 -1.78858336E-05
  0.0145990001 -0.0982145667 -0.0251465552  0.0189280082  0.011317309
  0.0157219991 -0.111033998 -0.0222374536  0.0156125715  0.01046516
  0.0168450009 -0.0796272084  0.020323541 -0.0670324266  0.00956477504
  0.0179680008 -0.0555806234  0.00353473984 -0.0162637942  0.00792478956
  0.0190910008 -0.0954687074  0.0238370001 -0.0204203371 -0.00329785701
  0.0202140007 -0.0283169951  0.0265309922 -0.000327652524  0.0457516462
  0.0213370007 -0.037496943  0.0456040539 -0.0338576511  0.0229419135
  0.0224600006 -0.00262939348 -0.0139813367 -0.000315403362  0.0305898208
  0.0235830005  0.00983258709  0.00373960612  0.0323163271  0.0350488648
  0.0247060005 -0.0198032055 -0.0217150431  0.0391431861  0.0111297285
  0.0258290004 -0.0443534702  0.0226282887 -0.0122338245  0.042975463
  0.0269520003  0.0178426988 -0.00867529772  0.00680951774  0.0154065546
  0.0280750003 -0.00365299801 -0.00239614234  0.0200345144 -0.00789624825
  0.0291980002 -0.0164724272  0.0625977218 -0.0293826312 -0.0109511232
  0.0303210001 -0.0496827103  0.00618775981 -0.0127687035 -0.0428933278
  0.0314439982 -0.0144089712  0.0132863801 -0.023368299 -0.0227257907
  0.0325669982  0.0522228181 -0.0273591131 -0.0384592488  0.000437665731
  0.0336900018 -0.00287310896 -0.00988400914 -0.0133117493 -0.0360814929
  0.0348130018  0.0391596742  0.0304029677  0.0164822619 -0.00672789244
  0.0359360017 -0.0142952371  0.0161647536 -0.0356664434 -0.0244247317
  0.0370590016  0.0246667303  0.0280367602 -0.00620316016  0.00488063321
  0.0381820016 -0.0343448892  0.0114425831  0.0343578495  0.0075657079
  0.0393050015  0.0274613332 -0.0284244176  0.000341967563 -0.0049592806
  0.0404280014  0.0246017389 -0.00750755891 -0.00464343559  0.0325728096
  0.0415510014 -0.0192182884 -0.0555077568  0.0710195526  0.00630624173
  0.0426740013  0.0175339933 -0.0104166614 -0.0372506678 -0.0132771162
