Stokes I Q U V
 Time (s)               Data...
  0.00160740002 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.00321480003 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.00482220016 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.00642960006 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.00803699996 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.00964440033 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0112517998 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0128592001 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0144666005 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0160739999 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0176813994 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0192888007 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0208962001 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0225035995 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0241110008 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0257184003 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0273257997 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.028933201 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0305406004 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0321479999 -2.89261534E-05 -8.55333565E-06 -9.72169437E-06 -8.00692032E-06
  0.0337553993 -0.120207243 -0.0142182261  0.00850698724  0.0585791953
  0.0353627987 -0.110997789 -0.0292500407  0.0430457816 -0.00145719177
  0.0369702019 -0.149994597 -0.00234496617  0.0737445503  0.0981664658
  0.0385776013 -0.0735696256 -0.107139394 -0.0365436152 -0.00303568854
  0.0401850007  0.00197826256  0.0145643922 -0.0158900581 -0.0686547831
  0.0417924002 -0.0778370053 -0.049501501  0.102989897 -0.00970639847
  0.0433997996 -0.157179996  0.0860027969  0.00455969665 -0.0599775054
  0.045007199 -0.0413365327 -0.0169523265 -0.0409199595  0.0131818047
  0.0466146022 -0.00601675827  0.0459893346 -0.00802229252  0.00556578115
  0.0482220016  0.0214766674  0.0164228156 -0.0331862718  0.0284762792
  0.0498294011 -0.0188526455  0.0117538134 -0.0092772739 -0.0121098151
  0.0514368005 -0.0136913033 -0.0505110174  0.0597252324  0.0697981119
  0.0530441999 -0.0654227957 -0.0121418396 -0.081765838  0.02240308
  0.0546515994 -0.0452665761 -0.00803495385 -0.0472699478  0.0682062432
  0.0562590025 -0.0357872471  0.0188930649 -0.0511099771 -0.133226007
  0.057866402  0.0136334514  0.0225907918 -0.000342238025 -0.0343826711
  0.0594738014 -0.0335607864  0.026800923  0.0610982031  0.0021635408
  0.0610812008 -0.0388233326 -0.0451804772  0.00108972751  0.0103681572
  0.062688604  0.00536855636 -0.136399999 -0.0540918969  0.00551227294
  0.0642959997 -0.0371197499 -0.0116638504 -0.0430813134  0.0139844306
  0.0659034029  0.0450400524 -0.0271965992  0.0190241579 -0.0720926896
  0.0675107986 -0.0489604771 -0.0128569119  0.018772088  0.0101452051
  0.0691182017 -0.00298067438 -0.0231814869  0.0713257641  0.0103726164
  0.0707255974  0.00886005256  0.0665122941 -0.0323335268  0.032128226
  0.0723330006  0.00599264028 -0.0631375909  0.0913303718  0.0856811777
  0.0739404038 -0.0843645856 -0.0259461775  0.0690356866  0.0258142389
  0.0755477995  0.0659890324  0.0522796772 -0.0685724467 -0.0108612869
  0.0771552026  0.0513652265  0.0362077579  0.0999436155  0.0158037152
  0.0787625983 -0.0454689823 -0.0890331492 -0.0103552705 -0.0100051528
  0.0803700015  0.0222862903  0.0157383345  0.0234755855 -0.0883859918
  0.0819774047  0.0311752688  0.00982655957  0.0197428223  0.0320791751
  0.0835848004 -0.0496182963  0.0295388475 -0.130586743 -0.0640931949
  0.0851922035  0.0235513244  0.114196531  0.00968152098 -0.0400946923
  0.0867995992 -0.0237272475  0.0897119939 -0.00484193489  0.00843739696
  0.0884070024 -0.0280789677 -0.049922131 -0.00150068209  0.0560509227
  0.0900143981  0.073815383  0.0349955782 -0.0224009436 -0.000627812173
  0.0916218013 -0.0279777646 -0.0640170872 -0.0420784019 -0.0176836029
  0.0932292044  0.0457990728  0.0143158371  0.0566467717 -0.0165688451
  0.0948366001  0.0295560248  0.0325253271  0.0556921288  0.0593104735
  0.0964440033  0.037416108 -0.084406212 -0.0253560487  0.023450952
  0.098051399  0.0225055628 -0.0135260979 -0.0448994264  0.034589611
  0.0996588022 -0.0559603386  0.018904537  0.0696631819  0.03997612
  0.101266198  0.0352065153  0.0135701736 -0.131922171 -0.0674419254
  0.102873601 -0.0451991074  0.0361503996  0.0515034944 -0.0073252758
  0.104481004  0.0333342627  0.00334119727 -0.011379635 -0.0225751605
  0.1060884  0.0443485007 -0.00586296897 -0.00286292634  0.0509631708
  0.107695803  0.0414473526 -0.0500827357  0.0373715498 -0.0238415245
  0.109303199  0.0318162218  0.0643785521 -0.0856487677 -0.0468233675
  0.110910602  0.0872584879  0.0714566186  0.0176136438  0.103535138
  0.112518005  0.0211393256  0.0193748791  0.101831451  0.0860780329
  0.114125401  0.0295728911  0.101634964 -0.0371228345 -0.0629204661
