Total Power only
 Time (s)               Data...
  0.00319999899  0.15121159
  0.00639999798  0.147768006
  0.00959999673  0.10086336
  0.012799996  0.0969606191
  0.0159999952  0.0596836992
  0.0191999935  0.120233588
  0.0223999936  0.179965615
  0.0255999919  0.25058803
  0.0287999921  0.27688849
  0.0319999903  0.290863723
  0.0351999886  0.275855392
  0.0383999869  0.27855289
  0.0415999889  0.292901188
  0.0447999872  0.362849236
  0.0479999855  0.391890198
  0.0511999838  0.376508832
  0.0543999821  0.263314962
  0.0575999841  0.189349413
  0.0607999824  0.186164081
  0.0639999807  0.218634322
  0.0671999827  0.195088744
  0.0703999773  0.184097931
  0.0735999793  0.170452684
  0.0767999738  0.226396754
  0.0799999759  0.183107898
  0.0831999779  0.189220279
  0.0863999724  0.182691798
  0.0895999745  0.204027742
  0.092799969  0.267519027
  0.095999971  0.235321417
  0.099199973  0.171700984
  0.102399968  0.128785178
  0.10559997  0.143965691
  0.108799964  0.260847062
  0.111999966  0.235077485
  0.115199968  0.244231716
  0.118399963  0.203511193
  0.121599965  0.253758997
  0.124799959  0.258178264
  0.127999961  0.278179824
  0.131199956  0.320349514
  0.134399965  0.381100267
  0.13759996  0.487493038
  0.140799955  0.600112915
  0.143999949  0.70452565
  0.147199959  0.73787111
  0.150399953  0.799827099
  0.153599948  0.861653984
  0.156799957  0.932247698
  0.159999952  0.981304586
  0.163199946  0.999512613
  0.166399956  0.999986112
  0.16959995  0.994820714
  0.172799945  0.932563365
  0.175999939  0.941444993
  0.179199949  0.832196951
  0.182399943  0.801520228
  0.185599938  0.711341083
  0.188799948  0.71873045
  0.191999942  0.663475096
  0.195199937  0.586582482
  0.198399946  0.475282609
  0.201599941  0.425264388
  0.204799935  0.370367736
  0.20799993  0.324309647
  0.211199939  0.236239702
  0.214399934  0.216510773
  0.217599928  0.19254908
  0.220799938  0.15949057
  0.223999932  0.102470376
  0.227199927  0.102355585
  0.230399936  0.137752876
  0.233599931  0.150824189
  0.236799926  0.137609392
