Stokes I Q U V
 Time (s)               Data...
  0.00171099999  10.6687813  24.87047 -28.8226509 -19.2930908
  0.00342199998  2.01240516  34.667511 -25.8361797 -8.8323679
  0.0051330002  10.875761 -10.5821104 -18.8443794 -9.1632719
  0.00684399996  22.7564297 -29.8143959  3.34513235 -1.02435386
  0.00855499972  11.8416691 -9.01344585  21.7946701 -14.1071062
  0.0102660004 -4.67995787  14.5901651 -2.80554819  3.67842436
  0.0119770002  27.2777996  34.7579613  6.14886141  7.98893929
  0.0136879999  5.99562597  7.05437565  12.8102207 -5.66686821
  0.0153989997 -11.7908812 -3.25564861  3.495332  6.18102121
  0.0171099994 -15.4107361 -4.22088099  9.46326923  26.8603172
  0.0188209992 -48.3527985 -4.88375092  13.503643  8.20041084
  0.0205320008 -10.7375813 -15.8876572  16.9707546  3.61816049
  0.0222430006  11.0275469  10.0082188  8.67972755 -1.53714514
  0.0239540003 -29.489996  11.9373913  11.6036158 -11.3645496
  0.0256650001  6.71775723 -10.7319994  15.6139498  2.68352175
  0.0273759998  12.7155867 -12.0887508 -5.15617466  2.47314572
  0.0290869996 -9.61988735  3.3756392 -13.9603844  12.3608141
  0.0307979994 -7.48109102 -18.0274487 -7.2664814  10.672328
  0.0325089991  2.58735061 -13.083703  8.64968777  3.10536933
  0.0342199989  29.9915409 -9.3158083  3.73565173  29.6642323
  0.0359309986 -25.6907578 -32.618351 -9.01630878  24.6897182
  0.0376419984 -6.33580017 -7.92933655  18.5979176 -4.06932592
  0.0393529981  15.3373365  12.2087421  14.9205275 -12.8108835
  0.0410640016 -4.61556387  28.4884758  2.89202976  1.59877086
  0.0427750014 -9.20132732  1.47747838  29.1194115 -3.94879818
  0.0444860011  3.22209001 -24.1173286  15.4036703 -10.6107025
  0.0461970009 -0.425362706  10.5806389 -5.81955671  1.29745126
  0.0479080006 -9.9556551 -2.11080813  9.37314987 -20.6188984
  0.0496190004 -24.8168411 -12.3601017  8.95258999 -0.752618253
  0.0513300002 -13.9020796 -6.02988386  11.0603933 -2.7128396
  0.0530409999  3.67284727  9.94748783  8.40936756  10.0094242
  0.0547519997  2.70693922 -2.32142782 -26.4695206  6.48234081
  0.0564629994  20.0104923  1.3262974 -9.07638836 -10.6107025
  0.0581739992  6.80974865  9.40478706  32.9770432 -0.511562526
  0.0598849989 -2.95972133  12.1790228  17.0909138 -5.42581224
  0.0615959987 -11.1607409 -14.8022556 -10.1002502  6.391397
  0.0633070022 -1.57065368 -4.37206173 -4.49279213  12.3608141
  0.0650179982 -14.2056513  0.392076582 -17.1546326  0.151340753
  0.0667290017 -13.1201544 -15.1937752 -12.9640589  6.0900774
  0.0684399977 -11.5793009 -19.6852703  25.0790386  1.26677144
  0.0701510012 -10.4340096 -7.50680542  9.67605209 -11.4850769
  0.0718619972 -12.7567892  4.18969059  8.34928799 -11.1530771
  0.0735730007 -16.3122501  7.47561502  15.7941895 -17.6648693
  0.0752839968 -5.07092047 -7.20573568 -2.56522846 -10.1285906
  0.0769950002 -0.968111038  12.9930735  2.95210958 -5.69645214
  0.0787059963 -17.7289162 -2.92485952 -4.28251266 -18.7200356
  0.0804169998 -11.9150686  0.663427055 -4.6755352 -23.3921356
  0.0821280032 -9.65208435 -13.144434  6.77970028  5.87860584
  0.0838389993 -9.28871918 -12.0887508  9.25298977 -13.655674
  0.0855500028 -17.6415234  25.8046913 -7.71958399  7.4772439
  0.0872609988 -2.0858047 -4.91347027 -8.83606911  10.8837996
  0.0889720023  23.2669811  3.70772052  11.0603933 -8.35025692
  0.0906829983  11.3587151 -2.86412859  2.86198974  9.4363699
  0.0923940018  2.73913598  3.94935155 -5.8495965  7.89909124
  0.0941049978  4.85033512  0.934777439  6.87232351 -5.5759244
  0.0958160013 -13.1201544 -15.2234945  15.2209272 -11.6056051
