Total Power only
 Time (s)               Data...
  0.0179069769  0.
  0.0358139537  0.25270465
  0.0537209287  0.259220272
  0.0716279075  0.176516369
  0.0895348862  0.197009236
  0.107441857  0.24049744
  0.125348836  0.147005424
  0.143255815  0.107804991
  0.161162794  0.175509274
  0.179069772  0.23691158
  0.196976736  0.127504393
  0.214883715  0.203295946
  0.232790694  0.261905849
  0.250697672  0.15901427
  0.268604636  0.271213859
  0.28651163  0.257907987
  0.304418594  0.285603106
  0.322325587  0.157213703
  0.340232551  0.380636305
  0.358139545  0.299824536
  0.376046509  0.259311825
  0.393953472  0.177096203
  0.411860466  0.171602964
  0.42976743  0.186114296
  0.447674423  0.259021908
  0.465581387  0.144106209
  0.483488381  0.215991452
  0.501395345  0.324025333
  0.519302309  0.226703286
  0.537209272  0.271412224
  0.555116296  0.22369726
  0.57302326  0.196597233
  0.590930223  0.0929884762
  0.608837187  0.14610514
  0.626744151  0.243121997
  0.644651175  0.163912416
  0.662558138  0.148592353
  0.680465102  0.238696873
  0.698372066  0.380727857
  0.716279089  0.148592353
  0.734186053  0.180895701
  0.752093017  0.244205385
  0.769999981  0.241916537
  0.787906945  0.171190962
  0.805813968  0.178408489
  0.823720932  0.250003815
  0.841627896  0.249820709
  0.85953486  1.
  0.877441823  0.90107578
  0.895348847  0.490928501
  0.913255811  0.54833293
  0.931162775  0.907270908
  0.949069738  0.774959922
  0.966976762  0.216418713
  0.984883726  0.208194092
  1.00279069  0.403021276
  1.02069771  0.189700156
  1.03860462  0.151308462
  1.05651164  0.079285875
  1.07441854  0.138994426
  1.09232557  0.326024264
  1.11023259  0.201007098
  1.1281395  0.31110093
  1.14604652  0.151689932
  1.16395342  0.211093307
  1.18186045  0.237399861
  1.19976747  0.250003815
  1.21767437  0.198596165
  1.2355814  0.207919434
  1.2534883  0.237399861
  1.27139533  0.296818495
  1.28930235  0.144106209
  1.30720925  0.312016487
  1.32511628  0.215808347
  1.3430233  0.22250706
  1.3609302  0.257801175
  1.37883723  0.221103221
  1.39674413  0.321004033
  1.41465116  0.312504768
  1.43255818  0.328114748
  1.45046508  0.17619592
  1.46837211  0.110200658
  1.48627901  0.29222554
  1.50418603  0.277607381
  1.52209306  0.32343024
  1.53999996  0.374334335
  1.55790699  0.198214695
  1.57581389  0.258304715
  1.59372091  0.370336473
  1.61162794  0.338704497
  1.62953484  0.308812082
  1.64744186  0.24440375
  1.66534877  0.216800183
  1.68325579  0.102800034
  1.70116282  0.201007098
  1.71906972  0.242114902
  1.73697674  0.185595483
  1.75488365  0.194110021
  1.77279067  0.137499049
  1.79069769  0.131807432
  1.8086046  0.179995418
  1.82651162  0.275806814
  1.84441864  0.241306171
  1.86232555  0.162905321
  1.88023257  0.0935072899
  1.89813948  0.254398406
  1.9160465  0.0583810173
  1.93395352  0.189791709
  1.95186043  0.144884408
  1.96976745  0.168291748
  1.98767436  0.275806814
  2.00558138  0.151491567
  2.02348828  0.
  2.04139543  0.217608914
  2.05930233  0.0289921425
  2.07720923  0.231021598
  2.09511638  0.199389637
  2.11302328  0.345815212
  2.13093019  0.263324946
  2.14883709  0.264820337
  2.16674423  0.271213859
  2.18465114  0.156298161
  2.20255804  0.213199049
  2.22046518  0.26692608
  2.23837209  0.207705811
  2.25627899  0.327931643
  2.27418613  0.318501562
  2.29209304  0.153688863
  2.30999994  0.185305566
